epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,179.387,1.50323,0.52571,1,1.16999,0.000367506,0.000367506,0.000367506
2,358.071,1.10572,0.65905,1,0.84409,0.00072323,0.00072323,0.00072323
3,534.859,0.91287,0.68,1,0.77892,0.00106429,0.00106429,0.00106429
4,711.403,0.79136,0.70667,1,0.77226,0.00104501,0.00104501,0.00104501
5,887.921,0.76797,0.74857,1,0.62987,0.00102301,0.00102301,0.00102301
6,1064.07,0.71617,0.74857,1,0.59808,0.00100101,0.00100101,0.00100101
7,1239.5,0.65957,0.74857,1,0.61785,0.000979013,0.000979013,0.000979013
8,1413.82,0.61285,0.74286,1,0.6387,0.000957015,0.000957015,0.000957015
9,1589.84,0.57798,0.76,1,0.58046,0.000935018,0.000935018,0.000935018
10,1764.78,0.51831,0.76952,1,0.58154,0.00091302,0.00091302,0.00091302
11,1940.55,0.51464,0.7619,1,0.64889,0.000891022,0.000891022,0.000891022
12,2117.15,0.51066,0.77333,1,0.64534,0.000869024,0.000869024,0.000869024
13,2292.65,0.47107,0.77524,1,0.65059,0.000847026,0.000847026,0.000847026
14,2468.08,0.43874,0.76,1,0.63156,0.000825029,0.000825029,0.000825029
15,2643.19,0.406,0.77143,1,0.63309,0.000803031,0.000803031,0.000803031
16,2818.37,0.44276,0.78286,1,0.64009,0.000781033,0.000781033,0.000781033
17,2993.98,0.38368,0.78667,1,0.58792,0.000759035,0.000759035,0.000759035
18,3170,0.38961,0.76952,1,0.66915,0.000737037,0.000737037,0.000737037
19,3345.73,0.34544,0.80571,1,0.61849,0.00071504,0.00071504,0.00071504
20,3520.46,0.32522,0.77905,1,0.63027,0.000693042,0.000693042,0.000693042
21,3696.07,0.34972,0.78095,1,0.62069,0.000671044,0.000671044,0.000671044
22,3870.46,0.32832,0.78286,1,0.59906,0.000649046,0.000649046,0.000649046
23,4045.37,0.30632,0.77333,1,0.69901,0.000627048,0.000627048,0.000627048
24,4220,0.31652,0.77714,1,0.67652,0.000605051,0.000605051,0.000605051
25,4396.28,0.28981,0.79429,1,0.64501,0.000583053,0.000583053,0.000583053
26,4572.04,0.28374,0.78857,1,0.69862,0.000561055,0.000561055,0.000561055
27,4748.12,0.26522,0.78286,1,0.6656,0.000539057,0.000539057,0.000539057
28,4923.21,0.24708,0.79238,1,0.68084,0.000517059,0.000517059,0.000517059
29,5097.92,0.24124,0.78857,1,0.63173,0.000495062,0.000495062,0.000495062
30,5272.82,0.24039,0.77905,1,0.60541,0.000473064,0.000473064,0.000473064
31,5448.63,0.2525,0.79429,1,0.68657,0.000451066,0.000451066,0.000451066
32,5623.46,0.22774,0.8,1,0.66935,0.000429068,0.000429068,0.000429068
33,5798.73,0.23696,0.8019,1,0.68192,0.00040707,0.00040707,0.00040707
34,5973.6,0.22056,0.79429,1,0.71399,0.000385073,0.000385073,0.000385073
35,6149.01,0.19399,0.80762,1,0.66963,0.000363075,0.000363075,0.000363075
36,6325.1,0.18991,0.81333,1,0.64199,0.000341077,0.000341077,0.000341077
37,6500.55,0.20169,0.81524,1,0.62557,0.000319079,0.000319079,0.000319079
38,6675.83,0.19848,0.80952,1,0.65393,0.000297081,0.000297081,0.000297081
39,6851.05,0.186,0.80762,1,0.64809,0.000275084,0.000275084,0.000275084
40,7026.46,0.17526,0.80381,1,0.65842,0.000253086,0.000253086,0.000253086
41,7202.58,0.16775,0.81143,1,0.64288,0.000231088,0.000231088,0.000231088
42,7378.55,0.16719,0.81333,1,0.65358,0.00020909,0.00020909,0.00020909
43,7553.44,0.16428,0.8,1,0.67431,0.000187092,0.000187092,0.000187092
44,7728.35,0.15568,0.82095,1,0.63871,0.000165095,0.000165095,0.000165095
45,7903.86,0.15178,0.80381,1,0.6934,0.000143097,0.000143097,0.000143097
46,8079.17,0.15597,0.82095,1,0.64053,0.000121099,0.000121099,0.000121099
47,8254.13,0.15401,0.81524,1,0.70066,9.91012e-05,9.91012e-05,9.91012e-05
48,8429.3,0.14494,0.82286,1,0.63832,7.71034e-05,7.71034e-05,7.71034e-05
49,8604.74,0.13634,0.82286,1,0.63639,5.51056e-05,5.51056e-05,5.51056e-05
50,8779.18,0.13956,0.81714,1,0.68678,3.31078e-05,3.31078e-05,3.31078e-05
